Air_Temperature, Air_Humidity, Soil_Humidity, Light_Level, Time, Date
23.90, 57.00, 71.43, 0.42, 20:51, 20:51 12.2.2020
21.10, 66.00, 71.43, 0.42, 21:01, 21:01 12.2.2020
20.50, 66.00, 71.43, 0.42, 21:11, 21:11 12.2.2020
20.30, 67.00, 71.43, 0.00, 21:21, 21:21 12.2.2020
20.40, 65.00, 71.43, 0.00, 21:31, 21:31 12.2.2020
20.50, 65.00, 71.43, 0.00, 21:41, 21:41 12.2.2020
20.50, 64.00, 71.43, 0.00, 21:51, 21:51 12.2.2020
20.60, 64.00, 71.43, 0.00, 22:01, 22:01 12.2.2020
20.60, 65.00, 71.43, 0.00, 22:11, 22:11 12.2.2020
20.50, 63.00, 71.43, 0.00, 22:21, 22:21 12.2.2020
20.50, 63.00, 71.43, 0.00, 22:31, 22:31 12.2.2020
20.60, 64.00, 71.43, 0.00, 22:41, 22:41 12.2.2020
20.50, 64.00, 71.43, 0.00, 22:51, 22:51 12.2.2020
20.50, 64.00, 71.43, 0.00, 23:01, 23:01 12.2.2020
20.50, 64.00, 71.43, 0.00, 23:11, 23:11 12.2.2020
20.40, 64.00, 71.43, 0.00, 23:21, 23:21 12.2.2020
20.60, 62.00, 71.43, 0.00, 23:31, 23:31 12.2.2020
20.50, 64.00, 71.43, 0.00, 23:41, 23:41 12.2.2020
20.20, 65.00, 71.43, 0.00, 23:51, 23:51 12.2.2020
20.20, 66.00, 71.43, 0.00, 00:01, 00:01 13.2.2020
20.10, 66.00, 71.43, 0.00, 00:11, 00:11 13.2.2020
20.00, 67.00, 71.43, 0.00, 00:21, 00:21 13.2.2020
20.00, 68.00, 71.43, 0.00, 00:31, 00:31 13.2.2020
20.00, 69.00, 71.43, 0.00, 00:41, 00:41 13.2.2020
19.90, 68.00, 71.43, 0.00, 00:51, 00:51 13.2.2020
19.90, 70.00, 71.43, 0.00, 01:01, 01:01 13.2.2020
19.90, 69.00, 71.43, 0.00, 01:11, 01:11 13.2.2020
19.80, 71.00, 71.43, 0.00, 01:21, 01:21 13.2.2020
19.80, 70.00, 71.43, 0.00, 01:31, 01:31 13.2.2020
19.70, 71.00, 71.43, 0.00, 01:41, 01:41 13.2.2020
19.70, 72.00, 71.43, 0.00, 01:51, 01:51 13.2.2020
19.70, 73.00, 71.43, 0.00, 02:01, 02:01 13.2.2020
19.60, 73.00, 71.43, 0.00, 02:11, 02:11 13.2.2020
19.60, 73.00, 71.43, 0.00, 02:21, 02:21 13.2.2020
19.60, 74.00, 71.43, 0.00, 02:30, 02:30 13.2.2020
19.60, 74.00, 71.43, 0.00, 02:40, 02:40 13.2.2020
19.50, 75.00, 71.43, 0.00, 02:50, 02:50 13.2.2020
19.60, 75.00, 71.43, 0.00, 03:00, 03:00 13.2.2020
19.50, 75.00, 71.43, 0.00, 03:10, 03:10 13.2.2020
19.50, 75.00, 71.43, 0.00, 03:20, 03:20 13.2.2020
19.50, 76.00, 71.43, 0.00, 03:30, 03:30 13.2.2020
19.50, 77.00, 71.43, 0.00, 03:40, 03:40 13.2.2020
19.40, 77.00, 71.43, 0.00, 03:50, 03:50 13.2.2020
19.40, 76.00, 71.43, 0.00, 04:00, 04:00 13.2.2020
19.40, 76.00, 71.43, 0.00, 04:10, 04:10 13.2.2020
19.40, 77.00, 71.43, 0.00, 04:20, 04:20 13.2.2020
19.30, 76.00, 71.43, 0.00, 04:30, 04:30 13.2.2020
19.30, 77.00, 71.43, 0.00, 04:40, 04:40 13.2.2020
19.40, 77.00, 71.43, 0.00, 04:50, 04:50 13.2.2020
19.30, 78.00, 71.43, 0.00, 05:00, 05:00 13.2.2020
19.30, 77.00, 71.43, 0.00, 05:10, 05:10 13.2.2020
19.30, 77.00, 71.43, 0.00, 05:20, 05:20 13.2.2020
19.30, 78.00, 71.43, 0.00, 05:30, 05:30 13.2.2020
19.20, 77.00, 71.43, 0.00, 05:40, 05:40 13.2.2020
19.20, 78.00, 71.43, 0.00, 05:50, 05:50 13.2.2020
19.20, 78.00, 71.43, 0.00, 06:00, 06:00 13.2.2020
19.20, 78.00, 71.43, 0.00, 06:10, 06:10 13.2.2020
19.30, 77.00, 71.43, 0.00, 06:20, 06:20 13.2.2020
19.50, 78.00, 71.43, 0.25, 06:30, 06:30 13.2.2020
19.60, 76.00, 71.43, 2.67, 06:40, 06:40 13.2.2020
19.60, 76.00, 71.43, 7.18, 06:50, 06:50 13.2.2020
19.60, 75.00, 71.43, 13.84, 07:00, 07:00 13.2.2020
19.70, 75.00, 71.43, 18.73, 07:10, 07:10 13.2.2020
